diagnosis_name,patients,average_abnormal_labs,average_treatment_cost,average_length_of_stay
Type 2 Diabetes,23,2.4782608695652173,35488.086956521736,6.869565217391305
Viral Fever,29,2.3448275862068964,26431.931034482757,7.103448275862069
Kidney Infection,25,2.32,40722.32,7.36
Coronary Artery Disease,27,2.1481481481481484,64181.81481481482,7.555555555555555
Hypertension,25,2.0,33659.52,9.0
Pneumonia,25,1.88,44677.36,6.32
Asthma,29,1.7241379310344827,28989.344827586207,6.344827586206897
Anemia,21,1.4285714285714286,36860.666666666664,8.095238095238095
Migraine,25,1.24,28680.88,8.0
Gastritis,21,1.0952380952380953,29777.52380952381,7.238095238095238
