feature,importance
remainder__age,0.1681702359343737
remainder__treatment_cost,0.14633719315650331
remainder__average_lab_result,0.13382754722598697
remainder__maximum_lab_result,0.13047694141806404
remainder__length_of_stay,0.12341113283865103
remainder__minimum_lab_result,0.11782488464607062
remainder__abnormal_lab_count,0.038914582265645724
categorical__gender_F,0.01812835532340873
categorical__diagnosis_name_Pneumonia,0.01777302594165536
categorical__gender_M,0.016474844045309807
categorical__diagnosis_name_Hypertension,0.011773096995530611
categorical__diagnosis_name_Gastritis,0.011731455849172519
categorical__diagnosis_name_Coronary Artery Disease,0.011651694797049968
categorical__diagnosis_name_Migraine,0.011428335156842565
categorical__diagnosis_name_Viral Fever,0.009952126153995081
categorical__diagnosis_name_Type 2 Diabetes,0.009383061262222157
categorical__diagnosis_name_Asthma,0.00867876519211779
categorical__diagnosis_name_Kidney Infection,0.007896574962622506
categorical__diagnosis_name_Anemia,0.006166146834777474
remainder__total_lab_tests,0.0
